YEAR,DATE,,EVENT,TYPE,OPP,VENUE,CITY,COUNTRY,NZ.SCORE,OPP.SCORE,COACH,CAPTAIN
1971,Jan 9,,Netball World Cup,,JAM,National Stadium,Kingston,JAM,52,32,T. Jamison,J. Harnett
1971,Jan 8,,Netball World Cup,,TTO,National Stadium,Kingston,JAM,47,33,T. Jamison,J. Harnett
1971,Jan 6,,Netball World Cup,,ENG,National Stadium,Kingston,JAM,42,40,,J. Harnett
1971,Jan 5,,Netball World Cup,,WAL,National Stadium,Kingston,JAM,83,21,,J. Harnett
1971,Jan 2,,Netball World Cup,,BAR,National Stadium,Kingston,JAM,108,10,T. Jamison,J. Harnett
1971,Jan 1,,Netball World Cup,,SCO,National Stadium,Kingston,JAM,61,17,T. Jamison,J. Harnett
1970,Dec 31,,Netball World Cup,,NIR,National Stadium,Kingston,JAM,90,12,T. Jamison,J. Harnett
1970,Dec 19,,Pre-International Tournament,,BAR,YMCA Stadium,Bridgetown,BAR,63,20,T. Jamison,J. Harnett
1970,Dec 18,,Pre-International Tournament,,BAR,YMCA Stadium,Bridgetown,BAR,52,19,T. Jamison,J. Harnett
1970,Nov 3,,One Off Test,,SIN,,Kent Ridge,SIN,42,11,T. Jamison,J. Harnett
1969,Jun 27,,AUS Tour to NZL,,ANT,St Kilda Courts,Dunedin,NZL,43,39,T. Jamison,J. Harnett
1969,Jun 20,,AUS Tour to NZL,,AUS,Haitai Courts,Wellington,NZL,39,49,T. Jamison,J. Harnett
1967,Aug 26,,Netball World Cup,,AUS,Matthews Centre,Perth,AUS,40,34,T. Jamison,J. Blair
1967,Aug 25,,Netball World Cup,,SIN,Matthews Centre,Perth,AUS,74,5,T. Jamison,J. Blair
1967,Aug 23,,Netball World Cup,,TTO,Matthews Centre,Perth,AUS,53,28,T. Jamison,J. Blair
1967,Aug 22,,Netball World Cup,,JAM,Matthews Centre,Perth,AUS,51,20,T. Jamison,J. Blair
1967,Aug 19,,Netball World Cup,,ENG,Matthews Centre,Perth,AUS,50,24,T. Jamison,J. Blair
1967,Aug 17,,Netball World Cup,,SCO,Matthews Centre,Perth,AUS,76,14,T. Jamison,J. Blair
1967,Aug 14,,Netball World Cup,,RSA,Matthews Centre,Perth,AUS,41,39,T. Jamison,J. Blair
1963,Aug 14,,Netball World Cup,,WI,Chelsea College PE,Eastbourne,ENG,73,23,D. Cockerton,P. Barham
1963,Aug 13,,Netball World Cup,,WAL,Chelsea College PE,Eastbourne,ENG,88,15,D. Cockerton,P. Barham
1963,Aug 12,,Netball World Cup,,SCO,Chelsea College PE,Eastbourne,ENG,85,7,D. Cockerton,P. Barham
1963,Aug 10,,Netball World Cup,,RSA,Chelsea College PE,Eastbourne,ENG,60,13,D. Cockerton,P. Barham
1963,Aug 8,,Netball World Cup,,AUS,Chelsea College PE,Eastbourne,ENG,36,37,D. Cockerton,P. Barham
1963,Aug 7,,Netball World Cup,,TTO,Chelsea College PE,Eastbourne,ENG,51,23,D. Cockerton,P. Barham
1963,Aug 6,,Netball World Cup,,ENG,Chelsea College PE,Eastbourne,ENG,56,29,D. Cockerton,P. Barham
1963,Aug 5,,Netball World Cup,,SRI,Chelsea College PE,Eastbourne,ENG,89,9,D. Cockerton,P. Barham
1963,Aug 3,,Netball World Cup,,JAM,Chelsea College PE,Eastbourne,ENG,61,31,D. Cockerton,P. Barham
1963,Aug 2,,Netball World Cup,,NIR,Chelsea College PE,Eastbourne,ENG,112,4,D. Cockerton,P. Barham
1960,Sep 3,,NZ Tour to Australia,,AUS,Raleigh Park Kensington,Sydney,AUS,45,46,D. Cockerton,D. Mariu
1960,Aug 27,,NZ Tour to Australia,,AUS,Royal Park,Melbourne,AUS,39,44,D. Cockerton,D. Mariu
1960,Aug 20,,NZ Tour to Australia,,AUS,Memorial Drive Courts,Adelaide,AUS,49,40,D. Cockerton,D. Mariu
1948,Sep 11,,AUS Tour to NZL,,AUS,Windmill Road Courts,Auckland,NZL,22,44,M. Muir,B. Plant
1948,Aug 28,,AUS Tour to NZL,,AUS,Waiwakaiho Courts,New Plymouth,NZL,13,44,M. Muir,B. Malcolm
1948,Aug 14,,AUS Tour to NZL,,AUS,Forbury Park,Dunedin,NZL,16,27,M. Muir,O. Shannahan
1938,Aug 20,,One Off Test,,AUS,Royal Park,Melbourne,AUS,11,40,M. Muir,M. Matangi
